filename,creator,source_url,license,license_url,modifications,title,retrieval_date,sha256,training_status
23842522251_45785f1dea_o.jpg,Thank You (25 Millions ) views,https://www.flickr.com/photos/prayitnophotography/23842522251/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,Cruise Port,2026-09-18,e19d43bf6c1e0fa61be8eb64100f35c410352c6aabae67a079890a02b664979b,approved-attribution-required
24488285392_d1c8715e9d_o.jpg,ChrisGoldNY,https://www.flickr.com/photos/chrisgold/24488285392/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,"Chicken at Viñamar - Casablanca, Chile",2026-09-20,1584021eb62e7513bd177598e7e42f471409843b282835aa96ff3410fee2f4d0,approved-noncommercial-attribution-required
30915198868_b7f246e40e_o.jpg,Nourish Scotland,https://www.flickr.com/photos/148401948@N08/30915198868/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Nourish Scotland conference,2026-09-18,34fe1a73631943e65d7f91e026f1f5a5b9fb40ba22b3ad641978a2f32d3366b7,approved-noncommercial-attribution-required
3519047818_6efcb285da_o.jpg,bareform,https://www.flickr.com/photos/bareform/3519047818/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,Noodle Lunch,2026-09-20,8080ea89f854d4ae4e1910a55cdd2a9cf1b827d1ccbe77803de1f04c023bd730,conditional-sharealike
3570035951_b5e9b9e5f7_o.jpg,jwalsh,https://www.flickr.com/photos/jwalsh_/3570035951/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,IMG_5770.JPG,2026-09-18,dd8eb9b4adc046bb14d5839f6d84e7b7c6b741e64826773ecfeebf8c3efee0c7,approved-attribution-required
35840700846_6394bdd36f_o.jpg,Jaume Escofet,https://www.flickr.com/photos/jaumescar/35840700846/,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/,none to source file; training preprocessing may resize and/or crop,London,2026-09-18,34a94b6ec196c94050724fd98bdf8f3cb47df86f85f2f34658f6ae850fb27cdb,approved-noncommercial-sharealike
3650601116_a3eaa0459d_o.jpg,Alpha,https://www.flickr.com/photos/avlxyz/3650601116/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,"Eel - Makoto, Sydney AUD3.60",2026-09-20,ff0125a78ccf79b68fccc812101e02dae5f07d4231413b5fa2cca035e1cbe869,conditional-sharealike
3983575454_6f39abff2b_o.jpg,jules,https://www.flickr.com/photos/stone-soup/3983575454/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,vegetarian empanadas,2026-09-20,2ae4080c99f9b12eb6797ed4ff6df4f088dcfc0c403079ae0ded1915678b91dc,approved-attribution-required
4347329846_7d5cfc4106_o.jpg,Lee Davenport,https://www.flickr.com/photos/leedav/4347329846/,CC BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/,none to source file; training preprocessing may resize and/or crop,Not common at all.,2026-09-18,6175fc115f7989bcd3310258e29a08d6ca1df570bad459f71e8ffed74f9fc110,approved-noncommercial-attribution-required
45528642384_c2864822e9_o.jpg,Free Public Domain Illustrations by rawpixel,https://www.flickr.com/photos/vintage_illustration/45528642384/,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,none to source file; training preprocessing may resize and/or crop,"Modern Diner, Pawtucket, Rhode Island. Original image from Carol M. Highsmith’s America, Library of Congress collection. Digitally enhanced by rawpixel.",2026-09-20,9f003c916a7eab0eed2ea20be1d12182208803d4bf71fa27e74ceb6a14cf14b8,approved-attribution-required
45539849741_7da4bc91a0_o.jpg,Receitasparatodososdias,https://www.flickr.com/photos/100127130@N05/45539849741/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,Biscoitos de arroz,2026-09-18,b3b258b8579c189028ea0dedc3b66f57e6a6658d7756409370239b87774a05c6,conditional-sharealike
4663091455_b5734eb0bf_o.jpg,mooglet,https://www.flickr.com/photos/mooglet/4663091455/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,none to source file; distributed adaptations must retain the same license,The Oreo Donut,2026-09-18,7c4786580757b6fe4b43f93779b01ea57eacda4c7f63498580358c840cb5a1ee,conditional-sharealike
4783752333_d772608091_o.jpg,pollyalida,https://www.flickr.com/photos/pollyalida/4783752333/,CC BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/,none to source file; training preprocessing may resize and/or crop,Indulging in southern peaches,2026-09-20,2e7f0065d12dec39e2eedfbaf2c7dca8eb583503394221a67958eff1a46bfab6,approved-noncommercial-sharealike
